2 theta,Intensity
5.000100136,-0.043679672
5.020539675,0.007425491
5.040979214,0.04119023
5.061418753,0.012475655
5.081858292,0.093156767
5.102297831,0.0228169
5.12273737,0.093122719
5.14317691,0.073171447
5.163616449,0.103588085
5.184055988,0.116664298
5.204495527,0.032538975
5.224935066,0.071698228
5.245374605,0.062267057
5.265814144,0.099731573
5.286253683,6.40E-05
5.306693222,0.096597665
5.327132761,0.057735352
5.347572301,0.100490948
5.36801184,0.023475564
5.388451379,0.09057809
5.408890918,0.055270746
5.429330457,-0.025154799
5.449769996,-0.017017991
5.470209535,0.011972837
5.490649074,0.040984352
5.511088613,0.14293322
5.531528153,0.073027775
5.551967692,0.079531906
5.572407231,-0.009429388
5.59284677,0.031838339
5.613286309,0.029723974
5.633725848,0.062352519
5.654165387,0.077640639
5.674604926,0.141560558
5.695044465,0.068348385
5.715484004,0.040295788
5.735923544,-0.005097234
5.756363083,0.04154432
5.776802622,-0.095821216
5.797242161,0.006417267
5.8176817,-0.04410134
5.838121239,0.011303517
5.858560778,0.038951283
5.879000317,-0.002824709
5.899439856,0.000558875
5.919879396,-0.016870188
5.940318935,0.085513103
5.960758474,0.078542081
5.981198013,-0.042991588
6.001637552,0.024731541
6.022077091,-0.022107976
6.04251663,0.045656527
6.062956169,0.023163938
6.083395708,0.054511481
6.103835247,-0.033911956
6.124274787,0.032199183
6.144714326,-0.004099547
6.165153865,0.049900188
6.185593404,0.031003942
6.206032943,0.00692005
6.226472482,0.008898512
6.246912021,0.033467105
6.26735156,-0.046110282
6.287791099,0.079194129
6.308230639,0.00660256
6.328670178,0.038198344
6.349109717,0.102800926
6.369549256,0.016382529
6.389988795,0.04283204
6.410428334,0.005066128
6.430867873,0.118362568
6.451307412,0.037235251
6.471746951,0.055086954
6.49218649,0.109417677
6.51262603,0.052657976
6.533065569,0.103557851
6.553505108,0.003436746
6.573944647,0.00229466
6.594384186,0.049784373
6.614823725,0.029586439
6.635263264,0.028506415
6.655702803,-0.02984459
6.676142342,0.135783425
6.696581881,-0.03884565
6.717021421,0.116407072
6.73746096,0.05119437
6.757900499,0.046766244
6.778340038,0.061456027
6.798779577,0.074430385
6.819219116,-0.110491236
6.839658655,0.093496718
6.860098194,-0.02888353
6.880537733,-0.019298646
6.900977273,-0.049623632
6.921416812,0.015282405
6.941856351,0.069792461
6.96229589,0.002795427
6.982735429,0.022624635
7.003174968,-0.02002547
7.023614507,0.001581222
7.044054046,0.038833602
7.064493585,0.09520389
7.084933124,-0.032432913
7.105372664,0.039603749
7.125812203,-0.046325013
7.146251742,-0.041955311
7.166691281,0.004101745
7.18713082,0.05365171
7.207570359,0.056347361
7.228009898,0.050383144
7.248449437,-0.016324275
7.268888976,0.094072326
7.289328516,-0.000371498
7.309768055,-0.07222519
7.330207594,0.069483471
7.350647133,-0.056148292
7.371086672,0.002268409
7.391526211,0.081539131
7.41196575,-0.019725016
7.432405289,0.043962079
7.452844828,-0.031219028
7.473284367,-0.050823893
7.493723907,0.010033646
7.514163446,0.048342427
7.534602985,-0.038328105
7.555042524,-0.041644617
7.575482063,0.027976225
7.595921602,-0.041271135
7.616361141,0.054432747
7.63680068,0.138004537
7.657240219,-0.040555763
7.677679759,0.018751846
7.698119298,0.01210792
7.718558837,0.045415236
7.738998376,-0.021951206
7.759437915,0.040911372
7.779877454,-0.002108141
7.800316993,-0.024273633
7.820756532,0.050803783
7.841196071,0.025207442
7.86163561,-0.057659879
7.88207515,0.06782682
7.902514689,0.028403651
7.922954228,-0.061346055
7.943393767,0.078091594
7.963833306,0.04741104
7.984272845,0.060153951
8.004712384,-0.005207452
8.025151923,-0.014992612
8.045591462,0.018645693
8.066031002,0.050568573
8.086470541,-0.006029527
8.10691008,-0.013995828
8.127349619,0.012780779
8.147789158,0.015272517
8.168228697,-0.008256724
8.188668236,-0.042181945
8.209107775,0.118357965
8.229547314,-0.047470327
8.249986853,0.038458178
8.270426393,-0.00232874
8.290865932,-0.013581083
8.311305471,-0.003979406
8.33174501,-0.013454264
