rounded_temperature,CO_2 [%],CO [%],NO_x [%],O_2 [%],H_2O [%],N_2 [%],m_{Rauchgas} [kg/s],Temperature (°C)
23.0,0.05017901235955056,0.002599595243445693,7.314061632958802e-06,20.36996404494382,0.05035916819101124,78.40442809146067,0.0076957073071161055,22.688168539325844
24.0,0.050894375,0.002580425,-4.11459e-06,20.59485,0.05102310925,79.3006562075,0.008851346749999999,23.940649999999998
25.0,0.05148,0.0026195633333333333,5.653746666666666e-06,20.594333333333335,0.05161892066666667,79.29994253,0.008269713666666666,25.017300000000002
26.0,0.0523494,0.0026518949999999996,6.62592e-06,20.59435,0.052478854000000005,79.29816323,0.008141548500000002,25.939
27.0,0.05331846666666667,0.00267048,9.311073333333334e-06,20.5932,0.053420704000000006,79.29738103666666,0.008069600666666668,26.924733333333332
28.0,0.0548257,0.00270476,1.65362e-05,20.587933333333336,0.054890699999999994,79.29962897,0.008099298666666666,27.942233333333334
29.0,0.0577743,0.0027311566666666665,1.2588636666666666e-05,20.580066666666667,0.057727551999999994,79.30168773666666,0.008060698,29.068866666666665
30.0,0.06212766666666666,0.0027496566666666672,1.1123606666666667e-05,20.56696666666667,0.061896056,79.30624883,0.008091316999999999,30.017233333333333
31.0,0.06796033333333333,0.002776956666666667,2.0882700000000003e-05,20.548166666666667,0.06748295833333333,79.31359220333333,0.007951115333333333,31.015666666666664
32.0,0.07927055,0.0028068025,2.835785e-05,20.523625,0.07829279575,79.3159764925,0.00785326175,32.067724999999996
33.0,0.09017873333333333,0.002836536666666667,3.3221833333333334e-05,20.484166666666667,0.08871690466666667,79.33406793666667,0.007769183666666668,33.07176666666667
34.0,0.10804866666666667,0.0028544066666666666,2.5102366666666665e-05,20.45456666666667,0.10576023233333333,79.32874492333333,0.007791751666666667,34.0554
35.0,0.13533133333333333,0.0028594550000000003,4.29106e-05,20.41946666666667,0.13174735733333334,79.31055227833333,0.0077363810000000005,35.040933333333335
36.0,0.1696485,0.002833875,5.8890325e-05,20.3746,0.1643872875,79.2884714475,0.00769773325,36.002325
37.0,0.20071075,0.00279572,6.9576e-05,20.340375,0.19389790725,79.2621510475,0.007699902,36.8831
38.0,0.23089250000000003,0.002825676666666667,6.0178349999999996e-05,20.297316666666667,0.22261884833333334,79.24628613166666,0.007630056166666666,38.00725
39.0,0.2671598,0.002909158,5.482395999999999e-05,20.26216,0.25715496720000003,79.210561252,0.0074673524,38.98052
40.0,0.29485525,0.00306597375,4.1987675e-05,20.225175,0.28359874575,79.19326304375,0.007490070875,40.0418375
41.0,0.326455,0.00318915,3.560873333333334e-05,20.19673333333333,0.31370395166666665,79.15988295666666,0.007408548666666667,40.6585
42.0,0.35255425,0.00347968,1.52843675e-05,20.1408875,0.3387315265,79.16433176,0.007604223875,41.986625000000004
43.0,0.392420875,0.00405801625,-1.040936125e-05,20.092325,0.37706593025,79.1341405875,0.007555298375,43.061575000000005
44.0,0.4208381666666667,0.004743821666666667,-1.949946666666667e-05,20.0511,0.40463279583333334,79.11870471499999,0.007562307,44.01206666666667
45.0,0.4493838333333333,0.005255975,-3.3610183333333336e-05,20.024183333333333,0.4321411826666666,79.089069285,0.007558103333333333,44.96786666666667
46.0,0.46939166666666665,0.005723235,-5.583736666666667e-05,19.998166666666666,0.4515150898333333,79.07525917833333,0.007524340166666667,45.96285
47.0,0.493698875,0.0061596175,-7.11379e-05,19.961475,0.474917675,79.06381996875,0.0075947765,47.0583
48.0,0.5157932000000001,0.0066432060000000005,-8.75044e-05,19.92826,0.49626308100000005,79.053128018,0.0076159934,48.0376
49.0,0.5367407142857143,0.0071593914285714285,-0.00010078911428571427,19.900057142857143,0.5165459511428572,79.03959759,0.007616911571428571,49.03505714285715
50.0,0.5603244000000001,0.007729933999999999,-0.00011396380000000001,19.865699999999997,0.539361851,79.02699778,0.0076274486,49.916039999999995
51.0,0.5786686,0.008160686,-0.0001315504,19.83348,0.5570893187999999,79.022732944,0.007680245800000001,50.98326
52.0,0.6044796666666666,0.008525116666666667,-0.00014399750000000002,19.80045,0.5817933681666667,79.00489584333333,0.007706459833333333,52.14116666666666
53.0,0.6244266666666666,0.008852963333333333,-0.00015342,19.778266666666667,0.600920819,78.98768630666667,0.007701835333333333,53.13133333333334
54.0,0.646289,0.009107902857142858,-0.00017334114285714284,19.754700000000003,0.6217769541428572,78.96829948285713,0.007727251571428571,54.00022857142857
55.0,0.676866875,0.009285967499999999,-0.00018042625,19.709675,0.650764782125,78.9535878,0.007703377875,55.0332125
56.0,0.7014895,0.00924571,-0.00018363075,19.672725,0.67392305325,78.9428003675,0.00781183425,56.0792
57.0,0.7150793333333333,0.009153886666666666,-0.000184426,19.657033333333334,0.6866341566666666,78.93228371666667,0.007779908333333333,56.89516666666666
58.0,0.7310697500000001,0.009041167499999999,-0.000193769,19.645525,0.701581934,78.9129759175,0.00772965475,57.9165
59.0,0.7481322,0.008897262,-0.0001989414,19.6305,0.7175046183999999,78.89516486,0.0078349708,58.98234
60.0,0.765531,0.0088053925,-0.00020496525000000002,19.605325,0.73378769825,78.8867558725,0.00791228425,60.11305
61.0,0.7799296666666667,0.008777816666666667,-0.00019784466666666664,19.581766666666667,0.7473044926666667,78.88241920333333,0.008010253666666666,61.07853333333333
62.0,0.793726,0.0087879,-0.00019596,19.56245,0.760286776,78.874945285,0.008031094,62.01695
63.0,0.8023756666666667,0.0088171,-0.00019183433333333334,19.546766666666667,0.7684457906666666,78.87378661000001,0.007994231666666666,62.955600000000004
