Time,CO_2 [%],CO [%],NO_x [%],O_2 [%],H_2O [%],N_2 [%],m_{Rauchgas} [kg/s],Temperature (°C),rounded_temperature
25.06.2024 12:45,1.78453,0.0289821,-0.000785361,18.7233,1.701788072,77.76218519,0.008849356,99.5889,100.0
25.06.2024 12:45,1.78605,0.0289821,-0.000785361,18.7227,1.703190136,77.75986312,0.008849742,99.5852,100.0
25.06.2024 12:45,1.78682,0.0293914,-0.000784078,18.7227,1.704277908,77.75759477,0.008840236,99.5896,100.0
25.06.2024 12:45,1.78775,0.0293914,-0.000782375,18.7191,1.705135711,77.75940526,0.008733435,99.5193,100.0
25.06.2024 12:46,1.87287,0.0328747,-0.000879643,18.6692,1.786792072,77.63914287,0.008812488,100.351,100.0
25.06.2024 12:46,1.87433,0.0327434,-0.000896124,18.6785,1.788015563,77.62730716,0.008831888,100.258,100.0
25.06.2024 12:46,1.87433,0.0327434,-0.000896124,18.6836,1.788015563,77.62220716,0.008907405,100.338,100.0
25.06.2024 12:46,1.87583,0.0326428,-0.000904986,18.6957,1.789304123,77.60742806,0.009024039,100.436,100.0
25.06.2024 12:46,1.87495,0.0325555,-0.00090802,18.7025,1.788413442,77.60248908,0.008986102,100.234,100.0
25.06.2024 12:46,1.87355,0.0325181,-0.000927452,18.7178,1.787089868,77.58996948,0.009144,99.9862,100.0
25.06.2024 12:46,1.86878,0.0329124,-0.000876901,18.6692,1.783060453,77.64692405,0.008772353,100.259,100.0
25.06.2024 12:46,1.87155,0.032486,-0.000929752,18.7178,1.785218626,77.59387513,0.009133869,99.9877,100.0
25.06.2024 12:46,1.86916,0.0324714,-0.000921178,18.7341,1.783004278,77.5821855,0.009026089,100.075,100.0
25.06.2024 12:46,1.86264,0.0324699,-0.000923237,18.7419,1.776998259,77.58691508,0.008946828,99.9489,100.0
25.06.2024 12:46,1.85853,0.032489,-0.000921394,18.7492,1.773230342,77.58747205,0.008957761,99.6898,100.0
25.06.2024 12:46,1.87495,0.0325555,-0.000927452,18.7101,1.788413442,77.59490851,0.009079801,100.139,100.0
25.06.2024 12:46,1.8571,0.0329959,-0.000848561,18.6719,1.772380082,77.66647258,0.00883269,100.487,100.0
25.06.2024 12:46,1.876,0.0326921,-0.000901729,18.6836,1.78950605,77.61910358,0.008904969,100.34,100.0
25.06.2024 12:46,1.78766,0.0321502,-0.000865851,18.7483,1.707597248,77.7251584,0.008711244,100.387,100.0
25.06.2024 12:46,1.85361,0.0329923,-0.000850958,18.6737,1.769162023,77.67138664,0.008731297,100.403,100.0
25.06.2024 12:46,1.80684,0.0313227,-0.000857224,18.7483,1.72452112,77.6898734,0.009116936,99.541,100.0
25.06.2024 12:46,1.8029,0.0313028,-0.000857224,18.7483,1.720869967,77.69748446,0.008850574,99.9934,100.0
25.06.2024 12:46,1.8029,0.0312972,-0.000861012,18.7483,1.720864803,77.69749901,0.00881026,100.121,100.0
25.06.2024 12:46,1.80099,0.0313242,-0.000865996,18.7483,1.719128522,77.70112327,0.008690597,99.7563,100.0
25.06.2024 12:46,1.80099,0.0313626,-0.000865996,18.7483,1.719163931,77.70104947,0.008630468,99.8727,100.0
25.06.2024 12:46,1.80099,0.0313242,-0.000855635,18.7483,1.719128522,77.70111291,0.008828858,99.8999,100.0
25.06.2024 12:46,1.79357,0.0315396,-0.000870505,18.7483,1.712484721,77.71497618,0.008631329,100.241,100.0
25.06.2024 12:46,1.78823,0.0317927,-0.000871698,18.7483,1.707793239,77.72475576,0.008849029,100.389,100.0
25.06.2024 12:46,1.78787,0.0318832,-0.000871698,18.7483,1.707544676,77.72527382,0.008829273,100.461,100.0
25.06.2024 12:46,1.78766,0.031973,-0.000866507,18.7483,1.707433813,77.72549969,0.008731148,100.391,100.0
25.06.2024 12:46,1.79532,0.0313626,-0.000873586,18.7483,1.713935357,77.71195563,0.008770303,100.097,100.0
25.06.2024 12:47,1.75715,0.0345264,-0.000976029,18.847,1.681642168,77.68065746,0.008849653,100.064,100.0
25.06.2024 12:47,1.73921,0.035146,-0.000978137,18.8525,1.665656266,77.70846587,0.009054965,100.043,100.0
25.06.2024 12:47,1.7431,0.035146,-0.000978137,18.8518,1.669247003,77.70168513,0.009006363,100.102,100.0
25.06.2024 12:47,1.75206,0.0348531,-0.000981079,18.8509,1.677246388,77.68592159,0.008906663,100.19,100.0
25.06.2024 12:47,1.75206,0.0348531,-0.000969367,18.847,1.677246388,77.68980988,0.008889254,100.039,100.0
25.06.2024 12:47,1.76259,0.0343566,-0.000976029,18.844,1.68650528,77.67352415,0.008946769,100.323,100.0
25.06.2024 12:47,1.80659,0.0333453,-0.000959093,18.8104,1.726155426,77.62446837,0.008792465,99.6302,100.0
25.06.2024 12:47,1.77429,0.0341866,-0.000963517,18.8296,1.697142986,77.66574393,0.008886669,99.9697,100.0
25.06.2024 12:47,1.78053,0.0338411,-0.000963517,18.8296,1.702580428,77.65441199,0.008909455,99.8262,100.0
25.06.2024 12:47,1.78686,0.0338411,-0.000963517,18.8244,1.708418931,77.64744349,0.009044864,99.789,100.0
25.06.2024 12:47,1.8,0.0336656,-0.000957449,18.8195,1.72037463,77.62741722,0.008908326,99.6876,100.0
25.06.2024 12:47,1.73559,0.035146,-0.000987083,18.8525,1.662314522,77.71543656,0.009025792,100.34,100.0
25.06.2024 12:47,1.77429,0.0343566,-0.000967738,18.84,1.697299812,77.65502133,0.008888719,100.088,100.0
25.06.2024 12:47,1.73263,0.0355225,-0.000992529,18.8513,1.659929467,77.72161056,0.008946323,100.374,100.0
