Time,CO_2 [%],CO [%],NO_x [%],O_2 [%],H_2O [%],N_2 [%],m_{Rauchgas} [kg/s],Temperature (°C),rounded_temperature
25.06.2024 14:41,5.88877,0.173119,0.00510212,14.4107,5.470353755,74.05195513,0.012913498,324.848,325.0
25.06.2024 14:41,5.90383,0.17174,0.00518413,14.4107,5.482022917,74.02652295,0.013059513,325.173,325.0
25.06.2024 14:41,5.9201,0.17174,0.00523145,14.3522,5.495896609,74.05483194,0.013243702,325.428,325.0
25.06.2024 14:41,5.95799,0.170958,0.00523145,14.3253,5.527523967,74.01299658,0.013009752,325.359,325.0
25.06.2024 14:41,5.95799,0.170092,0.00523145,14.3253,5.526786111,74.01460044,0.013030874,325.254,325.0
25.06.2024 14:41,5.97914,0.168124,0.00536325,14.2994,5.543126995,74.00484576,0.013195338,325.396,325.0
25.06.2024 15:01,3.7475,0.080733,0.00111757,16.6183,3.525731663,76.02661777,0.012386686,325.182,325.0
25.06.2024 15:01,3.7475,0.0821821,0.000964762,16.6439,3.527019186,75.99843395,0.012259863,324.667,325.0
25.06.2024 15:09,4.94674,0.31879,0.00144585,15.2762,4.786100809,74.67072334,0.012861984,324.769,325.0
25.06.2024 15:09,4.99164,0.31879,0.00155347,15.2762,4.824943493,74.58687304,0.012652989,325.13,325.0
25.06.2024 15:41,3.11975,0.207069,-0.00693321,17.119,3.078153356,76.48296085,0.011917033,325.367,325.0
25.06.2024 15:41,3.112,0.20853,-0.00703544,17.1362,3.072513219,76.47779222,0.011908298,325.062,325.0
25.06.2024 15:41,3.10489,0.210002,-0.00714382,17.1437,3.067456358,76.48109546,0.011820155,325.182,325.0
25.06.2024 15:42,3.09767,0.210002,-0.00714382,17.1516,3.060979792,76.48689203,0.011820155,325.182,325.0
25.06.2024 15:42,3.09089,0.21297,-0.00714382,17.1516,3.057559959,76.49412386,0.011732784,325.345,325.0
25.06.2024 15:42,3.07139,0.217428,-0.00756403,17.1762,3.044063081,76.49848295,0.011965575,325.033,325.0
