Time,CO_2 [%],CO [%],NO_x [%],O_2 [%],H_2O [%],N_2 [%],m_{Rauchgas} [kg/s],Temperature (°C),rounded_temperature
25.06.2024 13:15,3.49334,0.187553,-0.0014349,17.0231,3.394640692,75.90280121,0.011165421,199.579,200.0
25.06.2024 13:15,3.4982,0.187329,-0.00141989,17.0171,3.398770851,75.90002004,0.011221925,199.723,200.0
25.06.2024 13:15,3.4982,0.187073,-0.00140876,17.0103,3.398542793,75.90729297,0.011222341,199.955,200.0
25.06.2024 13:15,3.508,0.186819,-0.00140301,17.0103,3.407046141,75.88923787,0.011201456,199.95,200.0
25.06.2024 13:15,3.51299,0.186819,-0.00140301,16.9933,3.411490517,75.89680349,0.011378843,200.239,200.0
25.06.2024 13:15,3.53249,0.185663,-0.00136141,16.9811,3.427825208,75.8742832,0.011261407,200.361,200.0
25.06.2024 13:15,3.53747,0.185046,-0.00134662,16.9811,3.431709494,75.86602113,0.011145694,200.004,200.0
25.06.2024 13:15,3.54249,0.184738,-0.00134034,16.9718,3.435904136,75.8664082,0.011222668,200.149,200.0
25.06.2024 13:15,3.54249,0.184434,-0.00132418,16.966,3.435633525,75.87276666,0.011204249,200.11,200.0
25.06.2024 13:15,3.55781,0.183838,-0.00131696,16.9592,3.448738616,75.85173034,0.011340193,199.995,200.0
25.06.2024 13:15,3.55781,0.183838,-0.00131696,16.9514,3.448738616,75.85953034,0.011223024,200.136,200.0
25.06.2024 13:44,1.9218,0.187427,-0.00426744,18.5421,1.973807772,77.37913267,0.010812757,200.344,200.0
25.06.2024 13:44,1.9218,0.189446,-0.00431966,18.552,1.975659818,77.36541384,0.010813826,199.762,200.0
25.06.2024 13:44,1.9218,0.189446,-0.00436075,18.5626,1.975659818,77.35485493,0.010754648,199.718,200.0
25.06.2024 13:44,1.88778,0.191444,-0.00441632,18.5732,1.946277513,77.40571481,0.010655008,199.554,200.0
