Time,CO_2 [%],CO [%],NO_x [%],O_2 [%],H_2O [%],N_2 [%],m_{Rauchgas} [kg/s],Temperature (°C),rounded_temperature
25.06.2024 13:27,4.25952,0.0644601,0.00220348,16.1685,3.964206027,75.54111039,0.011905981,249.741,250.0
25.06.2024 13:27,4.26323,0.0639952,0.00224869,16.1638,3.967063097,75.53966301,0.011846565,249.792,250.0
25.06.2024 13:28,4.35358,0.0620766,0.00252598,16.0357,4.044854996,75.50126242,0.011789764,250.235,250.0
25.06.2024 13:28,4.35358,0.0620766,0.00251722,16.0388,4.044854996,75.49817118,0.011965575,250.126,250.0
25.06.2024 13:28,4.35358,0.0622166,0.00250493,16.0388,4.044978053,75.49792042,0.011965932,249.789,250.0
25.06.2024 13:28,4.34767,0.062288,0.00250493,16.0448,4.039845815,75.50289126,0.012064711,249.649,250.0
25.06.2024 13:28,4.32378,0.0625655,0.00243458,16.0738,4.019084388,75.51833553,0.012121008,249.561,250.0
25.06.2024 13:28,4.31216,0.0627033,0.00243458,16.0887,4.008985351,75.52501677,0.011925589,249.797,250.0
25.06.2024 13:28,4.30693,0.0627033,0.0024191,16.0969,4.00438466,75.52666294,0.011905476,250.174,250.0
25.06.2024 13:28,4.30175,0.0627856,0.00240791,16.106,3.999899925,75.52715657,0.012022347,250.139,250.0
25.06.2024 13:28,4.28732,0.062967,0.00237751,16.1246,3.987362404,75.53537309,0.012004315,250.045,250.0
25.06.2024 13:28,4.2784,0.0630753,0.0023409,16.1398,3.97960724,75.53677656,0.012024457,249.923,250.0
25.06.2024 13:28,4.2784,0.0631892,0.00234085,16.1398,3.979707491,75.53656246,0.012062542,249.871,250.0
25.06.2024 13:28,4.27455,0.0633182,0.00230298,16.1467,3.976432275,75.53669654,0.012004315,250.205,250.0
25.06.2024 13:28,4.27455,0.0637917,0.00228386,16.1566,3.976849061,75.52592538,0.011907407,250.191,250.0
25.06.2024 13:28,4.26671,0.0637917,0.00226746,16.1566,3.969947639,75.5406832,0.011729635,250.296,250.0
25.06.2024 13:28,4.26671,0.0639952,0.00226746,16.1599,3.970126789,75.53700055,0.011808242,250.098,250.0
25.06.2024 13:28,4.29177,0.062967,0.00238522,16.1156,3.991278366,75.53599941,0.012081466,249.96,250.0
25.06.2024 13:33,3.95718,0.0971325,0.000597769,16.521,3.72618821,75.69790152,0.011810292,249.923,250.0
25.06.2024 13:33,3.95718,0.0974827,0.000585856,16.5272,3.726498073,75.69105337,0.011732041,249.641,250.0
25.06.2024 13:33,3.95718,0.0967863,0.000616611,16.4936,3.725881884,75.72593521,0.011808064,250.214,250.0
25.06.2024 13:33,3.99559,0.0954999,0.000678894,16.4707,3.758718653,75.67881255,0.011671882,250.397,250.0
25.06.2024 13:33,3.98625,0.0961259,0.000639904,16.4936,3.75101291,75.67237129,0.011808064,250.154,250.0
25.06.2024 13:33,3.99559,0.0954999,0.000639904,16.4824,3.758718653,75.66715154,0.011749806,250.302,250.0
25.06.2024 13:33,3.96714,0.096451,0.000629225,16.4936,3.734397327,75.70778245,0.011749925,250.14,250.0
25.06.2024 13:52,4.35867,0.195157,0.00263438,16.0708,4.166149639,75.20658898,0.011908298,249.51,250.0
25.06.2024 13:52,4.36369,0.194844,0.00263438,16.0709,4.170276337,75.19765528,0.011929064,249.91,250.0
25.06.2024 13:52,4.37195,0.194844,0.00263438,16.0713,4.177517147,75.18175447,0.012063523,249.775,250.0
25.06.2024 13:52,4.37195,0.19447,0.00262806,16.0713,4.177189318,75.18246262,0.011967655,249.578,250.0
25.06.2024 13:52,4.38294,0.193036,0.00262679,16.0767,4.185564907,75.1591323,0.011810767,249.729,250.0
25.06.2024 13:53,4.38474,0.192483,0.00262679,16.0823,4.186657763,75.15119245,0.011927817,249.607,250.0
25.06.2024 13:53,4.38596,0.192483,0.00262768,16.0823,4.187726932,75.14890239,0.011929629,249.64,250.0
25.06.2024 13:53,4.38692,0.19058,0.0026408,16.0823,4.186900519,75.15065868,0.011927341,249.548,250.0
25.06.2024 13:53,4.38844,0.188504,0.00264407,16.0807,4.186413253,75.15329868,0.012005919,249.956,250.0
25.06.2024 13:53,4.38844,0.187807,0.00265179,16.0765,4.18580241,75.1587988,0.011907942,250.201,250.0
25.06.2024 14:32,2.11505,0.310685,-0.012583,18.016,2.263291352,77.30755665,0.011731298,250.133,250.0
25.06.2024 14:32,2.09139,0.30999,-0.0125836,18.0651,2.24107659,77.30502701,0.011711572,249.729,250.0
25.06.2024 15:02,2.70715,0.170306,-0.00585564,17.4908,2.673494059,76.96410558,0.01990358,250.157,250.0
