Time,CO_2 [%],CO [%],NO_x [%],O_2 [%],H_2O [%],N_2 [%],m_{Rauchgas} [kg/s],Temperature (°C),rounded_temperature
25.06.2024 14:44,7.20186,0.0799236,0.00732985,13.2994,6.49965607,72.91183048,0.01341482,349.626,350.0
25.06.2024 14:56,5.33339,0.0393677,0.00478124,15.0424,4.878810261,74.7012508,0.013114859,349.725,350.0
25.06.2024 14:56,5.34165,0.0392865,0.00479159,15.0378,4.885874271,74.69059764,0.013106867,349.976,350.0
25.06.2024 14:56,5.39709,0.0382146,0.0048477,15.0099,4.932805211,74.61714249,0.012948821,350.173,350.0
25.06.2024 14:56,5.39709,0.0381168,0.00484752,14.9963,4.932720831,74.63092485,0.013047511,350.124,350.0
25.06.2024 14:56,5.39709,0.0380212,0.00487855,14.988,4.932638349,74.6393719,0.013281758,350.335,350.0
25.06.2024 14:59,5.69873,0.040675,0.00466863,14.6247,5.194455253,74.43677112,0.012584274,350.4,350.0
25.06.2024 14:59,5.69572,0.040675,0.00462221,14.6247,5.191872486,74.4424103,0.01266811,350.056,350.0
25.06.2024 14:59,5.69045,0.0420886,0.00458655,14.6786,5.18856325,74.3957116,0.012535345,350.143,350.0
25.06.2024 14:59,5.68248,0.0425914,0.0045437,14.7104,5.182154873,74.37783003,0.012613507,349.608,350.0
25.06.2024 15:12,6.35407,0.175758,0.00494404,14.1423,5.867851479,73.45507648,0.013420376,349.66,350.0
25.06.2024 15:12,6.66536,0.145417,0.00630739,13.8587,6.104905738,73.21930987,0.013240731,349.51,350.0
25.06.2024 15:12,6.67468,0.145091,0.00634448,13.8587,6.112474818,73.2027097,0.013107164,349.878,350.0
25.06.2024 15:12,6.68372,0.144339,0.00636929,13.8284,6.119448669,73.21772304,0.013087349,349.537,350.0
25.06.2024 15:12,6.68372,0.144543,0.00635484,13.8439,6.11962031,73.20186185,0.013028884,350.007,350.0
25.06.2024 15:12,6.67941,0.144543,0.00634448,13.8516,6.115993848,73.20210867,0.013223055,350.188,350.0
25.06.2024 15:13,6.25802,0.180777,0.00429434,14.1799,5.790785967,73.58622269,0.013105412,349.683,350.0
25.06.2024 15:13,6.26048,0.182203,0.00403754,14.1781,5.794078376,73.58110108,0.013231581,350.197,350.0
25.06.2024 15:13,6.26163,0.182483,0.00400522,14.1753,5.795289884,73.5812919,0.013183246,350.409,350.0
25.06.2024 15:13,6.26628,0.182483,0.00400522,14.1728,5.799229187,73.57520259,0.013183246,350.409,350.0
25.06.2024 15:40,4.32109,0.0926946,0.000604821,15.9937,4.043209529,75.54870105,0.012356741,350.396,350.0
25.06.2024 15:40,4.32109,0.0936379,0.000565006,16.026,4.044038686,75.51466841,0.012308019,349.556,350.0
