Time,CO_2 [%],CO [%],NO_x [%],O_2 [%],H_2O [%],N_2 [%],m_{Rauchgas} [kg/s],Temperature (°C),rounded_temperature
25.06.2024 14:05,4.45069,0.115559,0.0018809,15.7887,4.177039427,75.46613067,0.012832841,300.453,300.0
25.06.2024 14:07,5.01967,0.057934,0.00444729,15.5085,4.623182668,74.78626604,0.012420761,300.497,300.0
25.06.2024 14:07,5.00853,0.057934,0.00444729,15.5206,4.613507594,74.79498112,0.012420761,300.497,300.0
25.06.2024 14:07,4.99744,0.0581961,0.00442063,15.5206,4.604101697,74.81524157,0.012298394,300.258,300.0
25.06.2024 14:07,4.97503,0.0586423,0.0044027,15.5312,4.585016653,74.84570835,0.012671823,300.295,300.0
25.06.2024 14:07,4.97503,0.0589766,0.00438531,15.5523,4.585307194,74.8240009,0.01259286,300.247,300.0
25.06.2024 14:07,4.96388,0.0591109,0.00438007,15.5731,4.575732485,74.82379655,0.012671883,300.076,300.0
25.06.2024 14:07,4.96388,0.0591109,0.00434725,15.5836,4.575732485,74.81332937,0.012533949,300.375,300.0
25.06.2024 14:07,4.94192,0.0592919,0.00433248,15.5938,4.556796793,74.84385883,0.012435675,300.333,300.0
25.06.2024 14:07,4.9308,0.0593462,0.00432399,15.6035,4.547172871,74.85485694,0.012495804,300.291,300.0
25.06.2024 14:07,4.9003,0.0593723,0.00430159,15.6337,4.520659458,74.88166665,0.012653672,300.294,300.0
25.06.2024 14:07,4.89087,0.0593723,0.00428335,15.6406,4.512452027,74.89242232,0.012612794,300.065,300.0
25.06.2024 14:07,4.8817,0.0593014,0.00428335,15.646,4.50440781,74.90430744,0.012653137,300.452,300.0
25.06.2024 14:08,4.80752,0.0588455,0.00412933,15.6808,4.439387442,75.00931773,0.012497556,299.947,300.0
25.06.2024 14:08,4.80752,0.0588353,0.00415239,15.6808,4.43937855,75.00931376,0.012595801,299.635,300.0
25.06.2024 14:08,4.83624,0.0588651,0.00418801,15.6559,4.464434927,74.98037196,0.012552932,299.983,300.0
25.06.2024 14:08,4.83624,0.0589401,0.00420554,15.6516,4.464500275,74.98451409,0.012440161,300.418,300.0
25.06.2024 14:08,4.82415,0.0588651,0.00418801,15.6716,4.453899704,74.98729719,0.012592473,299.559,300.0
25.06.2024 14:15,4.23428,0.0875073,0.00123853,16.2149,3.962275333,75.49979884,0.012260724,299.826,300.0
25.06.2024 14:15,4.23519,0.0870742,0.00124279,16.2149,3.962695236,75.49889777,0.012427891,299.904,300.0
25.06.2024 14:15,4.23519,0.0868348,0.00124627,16.2121,3.962484448,75.50214448,0.012352789,299.745,300.0
25.06.2024 14:15,4.23931,0.0865779,0.00123678,16.2089,3.965885724,75.4980896,0.012378338,300.049,300.0
25.06.2024 14:15,4.24234,0.0857403,0.00122423,16.21,3.96781592,75.49287955,0.012259625,300.078,300.0
25.06.2024 14:15,4.24433,0.0854496,0.00121156,16.2114,3.969311937,75.4882969,0.012251515,299.509,300.0
25.06.2024 14:16,4.33118,0.0753591,0.00148801,16.1335,4.036840283,75.42163261,0.01223773,300.217,300.0
25.06.2024 14:16,4.34174,0.0740686,0.00155379,16.1336,4.0449886,75.40404901,0.012257754,300.405,300.0
25.06.2024 14:16,4.33787,0.0750289,0.00150193,16.1336,4.042430989,75.40956818,0.012084586,300.074,300.0
25.06.2024 14:16,4.33574,0.0753591,0.00150193,16.1336,4.040848906,75.41295006,0.012062245,300.306,300.0
25.06.2024 14:16,4.31991,0.0775677,0.00143358,16.1397,4.028873558,75.43251516,0.012319665,300.436,300.0
25.06.2024 14:16,4.28628,0.0835737,0.00134109,16.1611,4.004578548,75.46312666,0.012495833,299.81,300.0
25.06.2024 14:16,4.30129,0.0818033,0.00137946,16.1525,4.016224168,75.44680307,0.012319308,300.168,300.0
25.06.2024 14:16,4.29826,0.0835737,0.00136951,16.1525,4.015116339,75.44918045,0.012398777,300.244,300.0
25.06.2024 14:16,4.28912,0.0835737,0.00136951,16.1568,4.007076865,75.46205992,0.012398777,300.244,300.0
25.06.2024 14:16,4.31058,0.0799245,0.00138632,16.1397,4.022741864,75.44566732,0.012438527,299.942,300.0
25.06.2024 14:16,4.28056,0.0841188,0.00133191,16.1611,4.000025912,75.47286338,0.012493368,299.556,300.0
25.06.2024 14:17,4.35409,0.0722297,0.0016582,16.1192,4.054226667,75.39859543,0.012175165,300.449,300.0
25.06.2024 14:17,4.3557,0.0722297,0.0016582,16.107,4.055641517,75.40777058,0.012175165,300.449,300.0
25.06.2024 14:17,4.35824,0.07204,0.00167061,16.107,4.05770686,75.40334253,0.012259328,300.119,300.0
25.06.2024 14:17,4.35824,0.07204,0.00167061,16.0989,4.05770686,75.41144253,0.012381666,300.182,300.0
25.06.2024 14:17,4.37346,0.0705846,0.00173947,16.0681,4.069800818,75.41631511,0.012416602,300.384,300.0
25.06.2024 14:21,4.22408,0.0476646,0.00320435,16.2217,3.918193144,75.58515791,0.012229887,300.392,300.0
25.06.2024 14:22,4.19001,0.0457397,0.00335276,16.2168,3.886460511,75.65763703,0.012144507,300.455,300.0
25.06.2024 14:23,4.11991,0.0516998,0.00273977,16.322,3.829863632,75.6737868,0.012010048,299.843,300.0
25.06.2024 14:23,4.12724,0.0514803,0.00273977,16.3207,3.836141204,75.66169873,0.012083843,299.951,300.0
25.06.2024 14:23,4.1313,0.0514803,0.00275716,16.3183,3.839725245,75.65643729,0.012084794,300.03,300.0
25.06.2024 14:23,4.1313,0.0510482,0.0027805,16.315,3.839343813,75.66052749,0.011885304,300.316,300.0
25.06.2024 14:23,4.14904,0.0500351,0.00281387,16.2947,3.854107099,75.64930393,0.012241444,300.318,300.0
25.06.2024 14:23,4.15535,0.0500351,0.00283114,16.2947,3.859675174,75.63740859,0.012041539,300.076,300.0
25.06.2024 14:23,4.16118,0.0500351,0.00283114,16.2902,3.864819114,75.63093465,0.012041539,300.076,300.0
25.06.2024 14:23,4.16118,0.0495261,0.00290672,16.2846,3.864370033,75.63741715,0.012068276,300.062,300.0
25.06.2024 14:23,4.16118,0.0493837,0.00291595,16.2846,3.864244396,75.63767595,0.012022526,300.099,300.0
25.06.2024 14:23,4.16609,0.0493837,0.00291595,16.2792,3.868576224,75.63383413,0.012028913,299.829,300.0
25.06.2024 14:23,4.16838,0.0491311,0.00294297,16.2726,3.870373598,75.63657233,0.011963763,299.996,300.0
25.06.2024 14:23,4.21455,0.0468394,0.00320525,16.227,3.909066282,75.59933907,0.012203061,300.17,300.0
25.06.2024 14:23,4.16838,0.0489344,0.00298233,16.26,3.870200074,75.6495032,0.012161648,300.369,300.0
25.06.2024 14:23,4.1768,0.0487869,0.00300836,16.2463,3.877497325,75.64760742,0.012123028,300.086,300.0
25.06.2024 14:23,4.18042,0.0486749,0.00301626,16.2463,3.880591431,75.64099741,0.01224186,300.201,300.0
25.06.2024 14:23,4.18227,0.0486311,0.00304084,16.2463,3.882184447,75.63757361,0.012128346,300.289,300.0
25.06.2024 14:23,4.20486,0.0474377,0.00317025,16.2388,3.901051614,75.60468044,0.012301216,300.19,300.0
25.06.2024 14:23,4.20704,0.0474377,0.00317368,16.2356,3.902973486,75.60377513,0.012321002,299.553,300.0
25.06.2024 14:23,4.2123,0.0474377,0.00318593,16.2325,3.907610347,75.59696602,0.012293849,299.623,300.0
25.06.2024 14:23,4.2123,0.047249,0.00320525,16.227,3.90744401,75.60280174,0.012259744,299.78,300.0
25.06.2024 14:23,4.22209,0.046621,0.00320525,16.225,3.91551957,75.58756418,0.012174393,300.395,300.0
25.06.2024 14:23,4.16838,0.049029,0.00295771,16.2658,3.870283528,75.64354976,0.011983489,300.302,300.0
25.06.2024 14:39,4.76918,0.277195,0.00250485,15.5807,4.596055364,74.77436479,0.012593008,299.621,300.0
25.06.2024 14:39,4.76918,0.277195,0.00253677,15.5807,4.596055364,74.77433287,0.012673457,300.238,300.0
25.06.2024 14:39,4.83379,0.273998,0.00261043,15.5282,4.649387568,74.712014,0.013009782,300.472,300.0
25.06.2024 15:08,4.23777,0.34929,0.000112719,16.1357,4.195277916,75.08184937,0.012466482,300.066,300.0
25.06.2024 15:08,4.24079,0.34929,0.000114351,16.1333,4.197924028,75.07858162,0.012417256,300.307,300.0
25.06.2024 15:08,4.25568,0.350748,0.000146075,16.1111,4.212245542,75.07008038,0.012417731,300.207,300.0
25.06.2024 15:08,4.23478,0.349115,0.000111539,16.1385,4.192504599,75.08498886,0.012417434,300.464,300.0
25.06.2024 15:08,4.24803,0.35052,0.000147835,16.1162,4.205344627,75.07975754,0.012417285,300.064,300.0
25.06.2024 15:08,4.22719,0.34893,9.99247e-05,16.148,4.185691108,75.09008897,0.01257251,300.071,300.0
25.06.2024 15:08,4.23186,0.34893,0.000106137,16.1425,4.189783701,75.08682016,0.012338856,300.322,300.0
