Time,CO_2 [%],CO [%],NO_x [%],O_2 [%],H_2O [%],N_2 [%],m_{Rauchgas} [kg/s],Temperature (°C),rounded_temperature
25.06.2024 13:58,4.6488,0.140078,0.00271672,15.7766,4.371789106,75.06001617,0.012356622,274.627,275.0
25.06.2024 13:58,4.65923,0.139129,0.00272298,15.7633,4.38006525,75.05555277,0.012241414,274.605,275.0
25.06.2024 13:58,4.66261,0.139129,0.00272905,15.7465,4.383015369,75.06601658,0.012261645,275.385,275.0
25.06.2024 13:58,4.66632,0.138837,0.00272905,15.7416,4.385998471,75.06451548,0.01224287,275.29,275.0
25.06.2024 14:28,3.07327,0.137809,-0.00416647,17.3629,2.974249523,76.45593795,0.011486237,275.28,275.0
25.06.2024 14:28,3.06414,0.138049,-0.0042026,17.3745,2.966259447,76.46125415,0.011435704,275.324,275.0
25.06.2024 14:28,3.05457,0.138314,-0.0042026,17.3864,2.95789497,76.46702363,0.011366722,274.735,275.0
25.06.2024 14:36,3.93965,0.366826,0.000490208,16.4421,3.948792034,75.30214176,0.012374684,275.154,275.0
25.06.2024 14:36,3.92825,0.368476,0.000455487,16.4421,3.940204104,75.32051441,0.012476523,274.774,275.0
25.06.2024 14:36,3.90453,0.368476,0.000455487,16.4485,3.919304797,75.35873372,0.012476523,274.774,275.0
25.06.2024 14:36,3.90453,0.37169,0.000406858,16.4485,3.922137133,75.35273601,0.012085774,274.776,275.0
25.06.2024 14:36,3.85074,0.374814,0.000327881,16.5118,3.877468306,75.38484981,0.012081437,274.787,275.0
25.06.2024 14:36,3.85074,0.373266,0.000352919,16.4746,3.876102884,75.4249382,0.011878947,274.848,275.0
25.06.2024 14:36,3.83585,0.376283,0.000294046,16.5301,3.865628947,75.39184401,0.012497438,274.574,275.0
25.06.2024 14:36,3.89199,0.373266,0.000406858,16.4595,3.912474427,75.36236271,0.012079179,274.733,275.0
25.06.2024 15:02,1.28053,0.132163,-0.00821082,18.9285,1.330666996,78.33635082,0.010246226,274.796,275.0
25.06.2024 15:02,1.29098,0.133487,-0.008825,18.8258,1.341608566,78.41694943,0.010225876,275.231,275.0
